cycle,px_hex,py_hex,v_hex,theta_hex,delta_hex,a_hex,z_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex
78,00004709304F,FFFC34723278,0002CBE8E87B,FFFFFCF7CB89,FFFFF90FB708,FFFFEF7F2B02,FFFFF1A85F06,000001E29575,000001F5FDF9,00004B26B8F0,000001A12D92,0000009E0053,0001346FE1F5,000000E7AFF5
79,00003D55BFFA,FFFC2714873C,0002C6CE734C,FFFFFE5DE13A,FFFFF771CDBF,FFFFED16F335,FFFFF14C1A97,000001F6DC0D,000001E88B7D,000054957683,0000008A8B72,000000C056E5,000138F53189,000000E7AFF6
80,000037669483,FFFC17A186D6,0002C766774C,FFFFFAA4A56B,FFFFF70A31A8,FFFFED9463F0,FFFFF14DCF16,000001F1950C,000001F33134,000059F5BFC7,00000442B1F6,000000A3D51B,00013C636377,000000E7AFF5
81,00002B11D3B1,FFFC0C71B1B4,0002C765EB88,FFFFF9AAFE06,FFFFF6F93784,FFFFEDBCB5EC,FFFFF18B343A,0000015A92D2,000001D10E34,000065C455A1,000003E62D93,000000FFE7EA,0001416E3E8B,000000E7AFF6
82,00002987A159,FFFBFE184331,0002DB3523CD,FFFFFB3BC4C2,FFFFF8D33050,FFFFF807B7BB,FFFFF0F963F9,000001F1F2E3,000001D030DB,00005971DC11,000001897FBC,000000856938,000140238973,000000E7AFF5
83,000021465753,FFFBEE200C88,0002E0AD919E,000002FD0563,FFFFF80DB545,FFFFFAEBDAB8,FFFFF0DB8EE9,000001DAB516,000001FB84D7,00005C423263,000005C2B598,000000D91B02,000142C954FD,000000E7AFF6
84,00001A3093AA,FFFBE288151A,0002FED167EA,0000057A1CF3,FFFFF627B79C,00000A929C53,FFFFF0D6B35B,000001D7B196,000001EB6EC9,0000449B06B6,000001263FA2,000000D3F662,00013E4FCE09,000000E7AFF5
85,000010C900EA,FFFBD746F8DC,0002F93CF6A7,FFFFF6C8DCB1,FFFFF4907E01,0000078A116C,FFFFF0DC05E0,000001F35BB5,000001CD34D6,00004AEFD01A,000001680A12,000000B3E2E1,000141FBF249,000000E7AFF6
86,000009CBE0CE,FFFBC91F3634,0002F9E09A7C,00000349486A,FFFFF439245C,000007C8C6FC,FFFFF0AA109C,000001F234E1,000001FC1693,00004B96C4FC,00000211B34B,000000CB6CAE,0001440FC6E1,000000E7AFF5
87,0000013989AA,FFFBB9C2CE11,0002F6300A95,00000175636D,FFFFF386161A,000005BC9B67,FFFFF04FE940,000001EB7E6B,000001FA5D82,000046AF0FE9,0000035A5FD8,000000B10709,0001447081CA,000000E7AFF6
88,FFFFF79F47CE,FFFBAFAAD56E,0002E947CE06,0000024EE18F,FFFFF4F80F53,FFFFFED198FD,FFFFEFE0B315,000001F312CA,000001E4089B,00003A1FA9E8,000001CE316C,000000AA7DCF,000142AF6164,000000E7AFF5
89,FFFFF09DEE1D,FFFBA13F1E51,0002F7C88D8B,000000EDE80B,FFFFF49A0640,000006B2229F,FFFFEFD09F42,000001F9F96E,000001EB5730,00002D25992C,000002B5C967,000000F56688,0001409D062C,000000E7AFF6
90,FFFFE864435E,FFFB9590FC40,0002F1B8D591,FFFFF8FF86AF,FFFFF63DDCA6,00000351FD64,FFFFEF5CBE87,000001F47F2C,000001D87734,00002E63ABD4,00000456CBD5,000000E4982B,000142ADE911,000000E7AFF5
91,FFFFE10E287D,FFFB8891B072,0002F39B9788,FFFFFDDA560F,FFFFF65EE6B4,0000044FD8C0,FFFFEE6E1BA0,000001F6FBB7,000001F90696,000030D23E09,0000035C6176,000000FF31F4,000144F7A330,000000E7AFF6
92,FFFFD92D55D1,FFFB7D44CE2F,0002ECBEAF31,FFFFF951FF0E,FFFFF3FF766E,00000091C77C,FFFFEECCCDDD,000001EA7EB4,000001F21D0A,0000380D9F7D,00000173270D,0000008026E3,000148E79641,000000E7AFF5
93,FFFFD18C6EFF,FFFB7498C9C2,0002E75C31B6,FFFFFE4B9703,FFFFF378BBA7,FFFFFD90715F,FFFFEF2A62C6,000001F9CD7B,000001F1DDAD,00003274CBDC,0000018B0856,000000D735D4,000148BDF527,000000E7AFF6
94,FFFFCAAB2005,FFFB6A4CFC7D,0002EF368F19,000001E477B1,FFFFF2A44917,00000205FAD9,FFFFEE5D5269,000001EF93C7,000001F9671B,00002BC6F655,000003534581,000000C3AB0D,0001481C9C4B,000000E7AFF5
95,FFFFC255D4B5,FFFB618B4CC7,0002F4CAC30D,000000152E5A,FFFFF434D479,0000052F2D55,FFFFEE3335D4,000001F76D2C,000001E56015,00002F9628C8,0000047DF810,000000BE4C04,00014AC1649E,000000E7AFF6
96,FFFFBD2EDAF4,FFFB587C2E8A,0002F2B778F1,FFFFFDC94348,FFFFF435D8A8,000003EDC1F2,FFFFEE90EDDC,000001F70AFD,000001F86984,000030274378,0000028308AD,000000C11F46,00014C53B6B4,000000E7AFF5
97,FFFFB705059D,FFFB53C5AA63,0002F021F921,00000013EACC,FFFFF389A5AB,000002610666,FFFFEF3E10A2,000001EAF91F,000001FA930A,000038493BB2,000002DCEA61,000000C87DBE,0001505C98F8,000000E7AFF6
98,FFFFB06D0683,FFFB4A6CF7C3,0002EF854915,0000015FDFB3,FFFFF380A69B,000001FF0157,FFFFEF0CA906,000001EF1237,000001F072B9,000043A4DE4B,0000035E9282,000000E4157D,0001556B27E1,000000E7AFF5
99,FFFFA92558F1,FFFB44137922,0002E6F28D85,FFFFFE086712,FFFFF49F921F,FFFFFD0612DD,FFFFEEA8CCBB,000001F3EEF5,000001E617A9,00003A397220,0000016B2D73,000000917C87,00015376BC84,000000E7AFF6
100,FFFFA208B2B5,FFFB3C991F8D,0002DF1AED4C,0000001CE08D,FFFFF4D0EA28,FFFFF88BBA1D,FFFFEE896C0A,000001F08472,000001EF9D65,000030C6A9D1,000000AB505B,000000FCE8FC,0001519FDAAB,000000E7AFF5
