cycle,px_hex,py_hex,v_hex,theta_hex,omega_hex,a_hex,z_hex,vz_hex,az_hex,p11_hex,p22_hex,p33_hex,p44_hex,p55_hex,p66_hex,p77_hex,p88_hex,p99_hex
51,0000A5E19CF1,FFFF604FD5CA,000002EB0034,FFFFFF5C228D,FFFFFFF75CBE,0000028EE287,FFFFFB56242B,FFFFFF817A23,FFFFFFFFDE1C,0000017A3C40,000001216945,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
52,0000A71C97F2,FFFF5AFE9D14,00000303BEC1,FFFFFF5AAF1B,FFFFFFF6F534,00000287AF67,FFFFFAFB8F52,FFFFFF802E75,FFFFFFFFDAFA,00000175A8DA,000001216B89,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
53,0000A95A66AA,FFFF5562571A,0000031F0162,FFFFFF4DEE5E,FFFFFFF6174E,000002AD752A,FFFFFAC8C782,FFFFFF7F7888,FFFFFFFFD95F,00000170C67B,000001216A7E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
54,0000AB675B01,FFFF4FCE7B81,0000033B5910,FFFFFF487D07,FFFFFFF54F41,000002C765C1,FFFFFAE2383E,FFFFFF7FE14F,FFFFFFFFDA9F,0000017225FF,0000012164E2,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
55,0000AD02BF07,FFFF4A32B6C1,00000357A1D0,FFFFFF446626,FFFFFFF4B285,000002CF5FCF,FFFFFB2B85D6,FFFFFF80FE15,FFFFFFFFDDAD,0000017083E3,000001216CA0,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
56,0000AD550FEB,FFFF43F4F002,00000374292B,FFFFFF476FFD,FFFFFFF4A7C4,000002A5F9E9,FFFFFB8CDE3F,FFFFFF82754C,FFFFFFFFE1A7,0000016DD384,000001216C66,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
57,0000AEB30E64,FFFF3CD891C3,0000039344C6,FFFFFF43AA5D,FFFFFFF3F089,000002A74702,FFFFFB2C5852,FFFFFF811358,FFFFFFFFDE65,00000167ABB3,000001217006,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
58,0000B079C0B0,FFFF36110737,000003B2FB8F,FFFFFF3DA5E6,FFFFFFF2FF9F,000002BBD56B,FFFFFBC2F012,FFFFFF8352E3,FFFFFFFFE469,00000163562A,000001216D11,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
59,0000B26FA598,FFFF2E18431F,000003D6F3E3,FFFFFF3630E8,FFFFFFF1D08E,000002D626D1,FFFFFB801742,FFFFFF826091,FFFFFFFFE261,00000160E69A,000001216F3E,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
60,0000B32B0683,FFFF26689E40,000003F8FB70,FFFFFF351202,FFFFFFF16658,000002C02B31,FFFFFB6C7777,FFFFFF821FE0,FFFFFFFFE206,0000015E9F34,000001217035,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
61,0000B47A20B5,FFFF1E8A1061,0000041C4084,FFFFFF30A19F,FFFFFFF0881C,000002C2D624,FFFFFB1CD0FC,FFFFFF80FD6F,FFFFFFFFDF6B,0000015A8BF4,000001217237,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
62,0000B5494ACD,FFFF175673E2,0000043D2C52,FFFFFF2E9373,FFFFFFF0094C,000002B37492,FFFFFA4EDCD8,FFFFFF7DFFF2,FFFFFFFFD80C,000001574500,000001217438,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
63,0000B664E4D6,FFFF0F6DD818,0000046097E8,FFFFFF2A68C5,FFFFFFEF371D,000002B0DC9A,FFFFFAFD2243,FFFFFF8098B6,FFFFFFFFDF14,00000153F5A8,0000012162B5,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
64,0000B8CA947E,FFFF07CB1121,00000485FD0E,FFFFFF209E45,FFFFFFED6FBB,000002E4AE73,FFFFFB5EE345,FFFFFF821197,FFFFFFFFE31F,00000150F8BC,00000121740B,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
65,0000BAF89BB7,FFFEFF24B11F,000004AF8768,FFFFFF17C790,FFFFFFEBADA7,0000030A877F,FFFFFB3F3755,FFFFFF81A3AA,FFFFFFFFE25B,000001504322,0000012179BF,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
66,0000BBE91FEF,FFFEF7678357,000004D595B4,FFFFFF145E33,FFFFFFEB10DF,000003023154,FFFFFB4B2EBB,FFFFFF81D9DF,FFFFFFFFE332,0000014F0436,000001217ED2,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
67,0000BDA8BA83,FFFEEFE457E1,000004FC716D,FFFFFF0DBFEB,FFFFFFE9AC3E,00000318C698,FFFFFB7C5118,FFFFFF829BDF,FFFFFFFFE56B,0000014D2864,000001218081,000001000000,000001000000,000001000000,000001000000,000001216499,000001000000,000001000000
68,0000BE891841,FFFEE8C1029A,000005218D90,FFFFFF0A7431,FFFFFFE927ED,0000030FFEE7,FFFFFADB51B3,FFFFFF804778,FFFFFFFFDFB8,0000014BAFA3,000001218449,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
69,0000BECF8D5F,FFFEE2800B41,00000542E84C,FFFFFF095BEC,FFFFFFE9484F,000002F30784,FFFFFAD3C573,FFFFFF803446,FFFFFFFFDFBF,0000014A3440,000001218694,000001000000,000001000000,000001000000,000001000000,000001216498,000001000000,000001000000
