Cycle 82: imm_x=0x0000C315D4F0 imm_y=0xFFFEA83295E6 imm_z=0xFFFFFB375268 p_ct=0x00000012AA0E p_si=0x000000EAC696 p_bi=0x000000028F5C
Cycle 83: imm_x=0x0000C1135484 imm_y=0xFFFEA53B7E86 imm_z=0xFFFFFB401907 p_ct=0x000000F10973 p_si=0x000000028F5C p_bi=0x0000000C6731
Cycle 84: imm_x=0x0000C0DF354D imm_y=0xFFFEA2B4B20C imm_z=0xFFFFFB8A987E p_ct=0x000000EDA791 p_si=0x0000000F8A6F p_bi=0x00000002CE00
Cycle 85: imm_x=0x0000C1777482 imm_y=0xFFFE9FB4277A imm_z=0xFFFFFBCC7CAF p_ct=0x000000A758B1 p_si=0x00000055C8E3 p_bi=0x00000002DE6C
Cycle 86: imm_x=0x0000C2F18F4A imm_y=0xFFFE9D5D2080 imm_z=0xFFFFFBA87064 p_ct=0x00000050826D p_si=0x000000ACEE37 p_bi=0x000000028F5C
Cycle 87: imm_x=0x0000C26E1948 imm_y=0xFFFE975AD7D1 imm_z=0xFFFFFB3EDA5D p_ct=0x000000F01C53 p_si=0x000000028F5C p_bi=0x0000000D5451
Cycle 88: imm_x=0x0000C2B26F3B imm_y=0xFFFE93DF24D8 imm_z=0xFFFFFACFB175 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 89: imm_x=0x0000C2F624BB imm_y=0xFFFE8C546991 imm_z=0xFFFFFB29402C p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 90: imm_x=0x0000C242C547 imm_y=0xFFFE867E6D44 imm_z=0xFFFFFAA340F0 p_ct=0x000000E245C0 p_si=0x0000001B2AE4 p_bi=0x000000028F5C
Cycle 91: imm_x=0x0000C3020559 imm_y=0xFFFE813B3060 imm_z=0xFFFFF958ED6B p_ct=0x000000F7200B p_si=0x000000065099 p_bi=0x000000028F5C
Cycle 92: imm_x=0x0000C1D5E0DC imm_y=0xFFFE79A5D0F5 imm_z=0xFFFFFABFC5D4 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 93: imm_x=0x0000C1E76D1B imm_y=0xFFFE750D292B imm_z=0xFFFFFB9C7F0C p_ct=0x000000FA0526 p_si=0x000000028F5C p_bi=0x000000036B7E
Cycle 94: imm_x=0x0000C1D27F19 imm_y=0xFFFE6EF703C2 imm_z=0xFFFFFA12F4D0 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 95: imm_x=0x0000C0E0E2F5 imm_y=0xFFFE695FCE55 imm_z=0xFFFFFA3762B5 p_ct=0x000000E1317F p_si=0x000000028F5C p_bi=0x0000001C3F25
Cycle 96: imm_x=0x0000C1EF499A imm_y=0xFFFE63486CD6 imm_z=0xFFFFFB3914E1 p_ct=0x000000C368E4 p_si=0x000000028F5C p_bi=0x0000003A07C0
Cycle 97: imm_x=0x0000C260893E imm_y=0xFFFE5D688BBB imm_z=0xFFFFFC7AE6C6 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 98: imm_x=0x0000C2536C65 imm_y=0xFFFE51909EFB imm_z=0xFFFFFBD279D4 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 99: imm_x=0x0000C13ABBEE imm_y=0xFFFE4686ED5B imm_z=0xFFFFFB1C5C0C p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 100: imm_x=0x0000BFC91C31 imm_y=0xFFFE3B545D53 imm_z=0xFFFFFB211507 p_ct=0x000000F80AEA p_si=0x000000028F5C p_bi=0x0000000565BA
Cycle 101: imm_x=0x0000BFB85BE0 imm_y=0xFFFE30644D2A imm_z=0xFFFFFC0AC387 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 102: imm_x=0x0000BFE7D192 imm_y=0xFFFE2529B58A imm_z=0xFFFFFB3FF33F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 103: imm_x=0x0000BF0C6269 imm_y=0xFFFE1BD63AF7 imm_z=0xFFFFFAD40BE1 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 104: imm_x=0x0000BED7E07A imm_y=0xFFFE1111719C imm_z=0xFFFFFAD5DAD9 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 105: imm_x=0x0000BF30ECAC imm_y=0xFFFE040084FC imm_z=0xFFFFFA908981 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 106: imm_x=0x0000C026A7FA imm_y=0xFFFDF8A0589E imm_z=0xFFFFFB137D17 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 107: imm_x=0x0000BE972CA6 imm_y=0xFFFDEEDF73B2 imm_z=0xFFFFFC29BFB3 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 108: imm_x=0x0000BD3462C3 imm_y=0xFFFDE2E416E0 imm_z=0xFFFFFBDC98AE p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 109: imm_x=0x0000BCD0F4CC imm_y=0xFFFDDAC48004 imm_z=0xFFFFFB67C5CF p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 110: imm_x=0x0000BAB6C0A4 imm_y=0xFFFDD51959FC imm_z=0xFFFFFB340103 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 111: imm_x=0x0000BC0A43F8 imm_y=0xFFFDCE4BF830 imm_z=0xFFFFFA643AA4 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 112: imm_x=0x0000BBDAC697 imm_y=0xFFFDCC101086 imm_z=0xFFFFFB7B97F3 p_ct=0x000000F0BF40 p_si=0x0000000C511F p_bi=0x00000002EFA1
Cycle 113: imm_x=0x0000BD8EBA12 imm_y=0xFFFDC74EA0E9 imm_z=0xFFFFFB6589A9 p_ct=0x00000063F1E4 p_si=0x000000997EC0 p_bi=0x000000028F5C
Cycle 114: imm_x=0x0000BAD32455 imm_y=0xFFFDBFD05696 imm_z=0xFFFFFB4FEF86 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 115: imm_x=0x0000BAD7EE8A imm_y=0xFFFDBADCC2EC imm_z=0xFFFFFD3D4297 p_ct=0x000000E8E0CB p_si=0x000000148FD9 p_bi=0x000000028F5C
Cycle 116: imm_x=0x0000BA49217F imm_y=0xFFFDB6647B30 imm_z=0xFFFFFC6C7DC9 p_ct=0x000000BA4481 p_si=0x0000003BD61C p_bi=0x00000009E563
Cycle 117: imm_x=0x0000B8998206 imm_y=0xFFFDB14C2021 imm_z=0xFFFFFB6F90FA p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 118: imm_x=0x0000BA5D4A3F imm_y=0xFFFDAC928DE9 imm_z=0xFFFFFB3EEDB4 p_ct=0x000000AEAFAD p_si=0x0000004EC0F7 p_bi=0x000000028F5C
Cycle 119: imm_x=0x0000B9FBB369 imm_y=0xFFFDA8C15EE9 imm_z=0xFFFFFBE7B3D3 p_ct=0x000000567AF8 p_si=0x000000A3B6A1 p_bi=0x00000005CE67
Cycle 120: imm_x=0x0000B90E9B59 imm_y=0xFFFDA20905E4 imm_z=0xFFFFFBC4B1DC p_ct=0x000000F94F04 p_si=0x0000000421A0 p_bi=0x000000028F5C
Cycle 121: imm_x=0x0000B6CD5C45 imm_y=0xFFFD9C95B11D imm_z=0xFFFFFABC0C92 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 122: imm_x=0x0000B868D96D imm_y=0xFFFD97519326 imm_z=0xFFFFFBA4E302 p_ct=0x000000D31B1C p_si=0x0000002A5588 p_bi=0x000000028F5C
Cycle 123: imm_x=0x0000B52EF9D1 imm_y=0xFFFD9310B435 imm_z=0xFFFFFB17DFA2 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 124: imm_x=0x0000B6782A44 imm_y=0xFFFD8EACECFF imm_z=0xFFFFFC48DAB7 p_ct=0x00000091BB8F p_si=0x0000006BB515 p_bi=0x000000028F5C
Cycle 125: imm_x=0x0000B730D18E imm_y=0xFFFD8925BF41 imm_z=0xFFFFFC44DF96 p_ct=0x0000005368BE p_si=0x000000A25D12 p_bi=0x0000000A3A30
Cycle 126: imm_x=0x0000B335735E imm_y=0xFFFD7E7B6526 imm_z=0xFFFFFB4EF8B5 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 127: imm_x=0x0000B2997503 imm_y=0xFFFD773CB57F imm_z=0xFFFFFBD326BE p_ct=0x000000F7DF03 p_si=0x0000000591A1 p_bi=0x000000028F5C
Cycle 128: imm_x=0x0000B26A670B imm_y=0xFFFD6F1091EC imm_z=0xFFFFFB42955F p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 129: imm_x=0x0000B0EE33B0 imm_y=0xFFFD685027FA imm_z=0xFFFFFB67130C p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 130: imm_x=0x0000AEF894AC imm_y=0xFFFD61BBB638 imm_z=0xFFFFFB2BFF90 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 131: imm_x=0x0000AF977803 imm_y=0xFFFD56DCD332 imm_z=0xFFFFFA398D49 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 132: imm_x=0x0000ADB1256C imm_y=0xFFFD4EECFDB5 imm_z=0xFFFFF9DE7B77 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 133: imm_x=0x0000AE109C90 imm_y=0xFFFD4758FA8D imm_z=0xFFFFFA9F5323 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 134: imm_x=0x0000ABB05E3B imm_y=0xFFFD3D691022 imm_z=0xFFFFFA13CD57 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 135: imm_x=0x0000ACEC1C2F imm_y=0xFFFD34F81BED imm_z=0xFFFFF9BDC08C p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 136: imm_x=0x0000AC0CA385 imm_y=0xFFFD2A84DED5 imm_z=0xFFFFF9365C1B p_ct=0x000000FA9CF8 p_si=0x000000028F5C p_bi=0x00000002D3AC
Cycle 137: imm_x=0x0000A99148F7 imm_y=0xFFFD202EC2F7 imm_z=0xFFFFF9B97C72 p_ct=0x000000047EF3 p_si=0x000000028F5C p_bi=0x000000F8F1B1
Cycle 138: imm_x=0x0000A97BE96B imm_y=0xFFFD1713BFFF imm_z=0xFFFFFAD2F15B p_ct=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 139: imm_x=0x0000A65772A6 imm_y=0xFFFD0EB20922 imm_z=0xFFFFF965CD34 p_ct=0x000000FABFEB p_si=0x000000028F5C p_bi=0x00000002B0B9
Cycle 140: imm_x=0x0000A73F605B imm_y=0xFFFD042054CE imm_z=0xFFFFF95E702A p_ct=0x000000EF7886 p_si=0x000000028F5C p_bi=0x0000000DF81E
Cycle 141: imm_x=0x0000A7A511D3 imm_y=0xFFFCFA4EB90D imm_z=0xFFFFFA27E0B3 p_ct=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
