Cycle 69: imm_x=0x0000BF1285DA imm_y=0xFFFED6417719 imm_z=0xFFFFFADF7A4C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 70: imm_x=0x0000C01F078C imm_y=0xFFFECFC19A23 imm_z=0xFFFFFB35A344 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 71: imm_x=0x0000C1A22E88 imm_y=0xFFFECECF5BE7 imm_z=0xFFFFFA966AFE p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 72: imm_x=0x0000C0EC05EA imm_y=0xFFFECC55F0EA imm_z=0xFFFFFB2E6047 p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 73: imm_x=0x0000C16AAD93 imm_y=0xFFFEC76C7ECE imm_z=0xFFFFFA928947 p_ca=0x000000F7F60B p_si=0x000000028F5C p_bi=0x000000057A99
Cycle 74: imm_x=0x0000BEC7CFF3 imm_y=0xFFFEC4B36B76 imm_z=0xFFFFFB01FE5F p_ca=0x000000678471 p_si=0x000000916DC8 p_bi=0x000000070DC7
Cycle 75: imm_x=0x0000C0A0F696 imm_y=0xFFFEC2E1A88A imm_z=0xFFFFFB15C908 p_ca=0x000000FAE148 p_si=0x000000028F5C p_bi=0x000000028F5C
Cycle 76: imm_x=0x0000C0CC4DED imm_y=0xFFFEBF8FA620 imm_z=0xFFFFFA557B1A p_ca=0x0000000CB36A p_si=0x000000028F5C p_bi=0x000000F0BD3A
Cycle 77: imm_x=0x0000BFC6D674 imm_y=0xFFFEB9CF9F23 imm_z=0xFFFFFB89B47C p_ca=0x000000028F5C p_si=0x000000FACB4E p_bi=0x00000002A556
Cycle 78: imm_x=0x0000C0DEF488 imm_y=0xFFFEB6ED4ACB imm_z=0xFFFFFB258F68 p_ca=0x000000FAC01C p_si=0x00000002B088 p_bi=0x000000028F5C
Cycle 79: imm_x=0x0000BEBE436D imm_y=0xFFFEB3DBA298 imm_z=0xFFFFFAF43DD0 p_ca=0x00000002B622 p_si=0x000000FABA82 p_bi=0x000000028F5C
